|       date | actual_mean_temp | actual_min_temp | actual_max_temp | average_min_temp | average_max_temp | record_min_temp | record_max_temp | record_min_temp_year | record_max_temp_year | actual_precipitation | average_precipitation | record_precipitation |
| 2014-07-03 |               84 |              73 |              94 |               75 |               93 |              66 |             100 |                1,977 |                1,980 |                 0.00 |                  0.16 |                 1.29 |
| 2014-07-05 |               82 |              73 |              90 |               75 |               93 |              66 |             102 |                1,924 |                2,009 |                 0.31 |                  0.16 |                 3.04 |
| 2014-07-17 |               83 |              76 |              89 |               75 |               94 |              67 |             104 |                1,974 |                1,980 |                 0.39 |                  0.10 |                 2.23 |
| 2014-07-23 |               86 |              76 |              95 |               75 |               94 |              64 |             101 |                1,970 |                1,980 |                 0.07 |                  0.11 |                 2.36 |
| 2014-07-25 |               85 |              74 |              95 |               75 |               94 |              65 |             102 |                1,894 |                1,964 |                 0.00 |                  0.10 |                 3.74 |
| 2014-07-26 |               87 |              78 |              95 |               75 |               94 |              68 |             105 |                1,972 |                1,954 |                 0.00 |                  0.11 |                 2.35 |
| 2014-07-27 |               87 |              77 |              97 |               75 |               95 |              66 |             101 |                1,902 |                1,995 |                 0.00 |                  0.10 |                 5.22 |
| 2014-07-29 |               83 |              74 |              92 |               75 |               95 |              64 |             101 |                1,994 |                1,907 |                 0.03 |                  0.10 |                 4.70 |
| 2014-08-09 |               86 |              77 |              94 |               75 |               95 |              62 |             106 |                1,989 |                1,962 |                 0.00 |                  0.11 |                 1.83 |
| 2014-08-11 |               86 |              75 |              97 |               75 |               95 |              65 |             102 |                1,989 |                2,011 |                 0.25 |                  0.10 |                 2.72 |
| 2014-08-13 |               84 |              73 |              94 |               75 |               95 |              64 |             104 |                2,004 |                1,962 |                 0.00 |                  0.11 |                 1.82 |
| 2014-08-17 |               88 |              78 |              97 |               75 |               95 |              60 |             104 |                1,992 |                1,909 |                 0.00 |                  0.12 |                 3.57 |
| 2014-08-25 |               87 |              76 |              97 |               75 |               94 |              55 |             103 |                1,891 |                1,924 |                 0.00 |                  0.13 |                 1.90 |
| 2014-08-26 |               86 |              74 |              97 |               74 |               94 |              57 |             104 |                1,891 |                2,011 |                 0.00 |                  0.14 |                 1.66 |
| 2014-08-27 |               85 |              75 |              94 |               74 |               94 |              59 |             109 |                1,891 |                2,011 |                 0.00 |                  0.14 |                 8.32 |
| 2014-08-31 |               79 |              74 |              84 |               74 |               93 |              62 |             107 |                1,893 |                2,000 |                 0.83 |                  0.16 |                 5.98 |
| 2014-09-01 |               84 |              74 |              93 |               74 |               93 |              63 |             107 |                1,915 |                2,000 |                 0.36 |                  0.15 |                 2.22 |
